Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.45     0.00   120000     0.00     0.00  boost::char_separator<char, std::char_traits<char> >::is_kept(char) const
  0.00      0.45     0.00   111970     0.00     0.00  std::vector<Route*, std::allocator<Route*> >::begin()
  0.00      0.45     0.00   108000     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::operator++()
  0.00      0.45     0.00    89549     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >::_M_ptr()
  0.00      0.45     0.00    89549     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >::_M_addr()
  0.00      0.45     0.00    89549     0.00     0.00  std::_Rb_tree_node<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >::_M_valptr()
  0.00      0.45     0.00    87583     0.00     0.00  std::_Rb_tree_iterator<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >::operator->() const
  0.00      0.45     0.00    84000     0.00     0.00  void boost::tokenizer_detail::assign_or_plus_equal<std::random_access_iterator_tag>::plus_equal<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&, char const&)
  0.00      0.45     0.00    72000     0.00     0.00  boost::iterators::detail::iterator_facade_base<boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::iterators::forward_traversal_tag, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long, false, false>::derived()
  0.00      0.45     0.00    72000     0.00     0.00  __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::__normal_iterator<char*>(__gnu_cxx::__normal_iterator<char*, __gnu_cxx::__enable_if<std::__are_same<char*, char*>::__value, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::__type> const&)
  0.00      0.45     0.00    72000     0.00     0.00  __gnu_cxx::__normal_iterator<char*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::base() const
  0.00      0.45     0.00    72000     0.00     0.00  std::char_traits<char>::eq(char const&, char const&)
  0.00      0.45     0.00    70954     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.45     0.00    70857     0.00     0.00  __gnu_cxx::__normal_iterator<Route**, std::vector<Route*, std::allocator<Route*> > >::difference_type __gnu_cxx::operator-<Route**, std::vector<Route*, std::allocator<Route*> > >(__gnu_cxx::__normal_iterator<Route**, std::vector<Route*, std::allocator<Route*> > > const&, __gnu_cxx::__normal_iterator<Route**, std::vector<Route*, std::allocator<Route*> > > const&)
  0.00      0.45     0.00    70857     0.00     0.00  std::vector<Route*, std::allocator<Route*> >::_M_check_len(unsigned long, char const*) const
  0.00      0.45     0.00    70857     0.00     0.00  void std::vector<Route*, std::allocator<Route*> >::_M_realloc_insert<Route* const&>(__gnu_cxx::__normal_iterator<Route**, std::vector<Route*, std::allocator<Route*> > >, Route* const&)
  0.00      0.45     0.00    60000     0.00     0.00  boost::char_separator<char, std::char_traits<char> >::reset()
  0.00      0.45     0.00    60000     0.00     0.00  boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::initialize()
  0.00      0.45     0.00    60000     0.00     0.00  boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::token_iterator(boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >)
  0.00      0.45     0.00    60000     0.00     0.00  boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~token_iterator()
  0.00      0.45     0.00    48436     0.00     0.00  AllEnv::AddToExtendable(Route*, Route*)
  0.00      0.45     0.00    48000     0.00     0.00  bool boost::char_separator<char, std::char_traits<char> >::operator()<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.45     0.00    48000     0.00     0.00  void boost::tokenizer_detail::assign_or_plus_equal<std::random_access_iterator_tag>::clear<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.45     0.00    48000     0.00     0.00  boost::date_time::int_adapter<unsigned int>::int_adapter(unsigned int)
  0.00      0.45     0.00    48000     0.00     0.00  bool boost::iterators::iterator_core_access::equal<boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, mpl_::bool_<true>)
  0.00      0.45     0.00    48000     0.00     0.00  boost::iterators::detail::enable_if_interoperable<boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, boost::mpl::apply2<boost::iterators::detail::always_bool2, boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >::type>::type boost::iterators::operator!=<boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::iterators::forward_traversal_tag, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long, boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::iterators::forward_traversal_tag, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long>(boost::iterators::iterator_facade<boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::iterators::forward_traversal_tag, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long> const&, boost::iterators::iterator_facade<boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::iterators::forward_traversal_tag, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long> const&)
  0.00      0.45     0.00    48000     0.00     0.00  bool __gnu_cxx::operator==<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.45     0.00    48000     0.00     0.00  bool boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::equal<boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&) const
  0.00      0.45     0.00    48000     0.00     0.00  boost::integral_constant<bool, true>::operator mpl_::bool_<true> const&() const
  0.00      0.45     0.00    48000     0.00     0.00  boost::tokenizer<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::end() const
  0.00      0.45     0.00    42000     0.00     0.00  boost::detail::lcast_ret_unsigned<std::char_traits<char>, unsigned short, char>::main_convert_iteration()
  0.00      0.45     0.00    42000     0.00     0.00  boost::date_time::int_adapter<unsigned int>::as_number() const
  0.00      0.45     0.00    36000     0.00     0.00  boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::increment()
  0.00      0.45     0.00    36000     0.00     0.00  void boost::tokenizer_detail::assign_or_plus_equal<std::random_access_iterator_tag>::assign<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
  0.00      0.45     0.00    36000     0.00     0.00  boost::detail::lexical_istream_limited_src<char, std::char_traits<char>, false, 2ul>::lexical_istream_limited_src()
  0.00      0.45     0.00    36000     0.00     0.00  bool boost::detail::lexical_istream_limited_src<char, std::char_traits<char>, false, 2ul>::operator<< <std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.45     0.00    36000     0.00     0.00  boost::detail::lexical_ostream_limited_src<char, std::char_traits<char> >::lexical_ostream_limited_src(char const*, char const*)
  0.00      0.45     0.00    36000     0.00     0.00  boost::detail::do_not_construct_out_stream_t::do_not_construct_out_stream_t(boost::detail::do_not_construct_out_buffer_t*)
  0.00      0.45     0.00    36000     0.00     0.00  boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::reference boost::iterators::iterator_core_access::dereference<boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > const&)
  0.00      0.45     0.00    36000     0.00     0.00  void boost::iterators::iterator_core_access::increment<boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >(boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >&)
  0.00      0.45     0.00    36000     0.00     0.00  boost::iterators::detail::iterator_facade_base<boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::iterators::forward_traversal_tag, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long, false, false>::operator++()
  0.00      0.45     0.00    36000     0.00     0.00  boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::dereference() const
  0.00      0.45     0.00    36000     0.00     0.00  boost::detail::lexical_istream_limited_src<char, std::char_traits<char>, false, 2ul>::cend() const
  0.00      0.45     0.00    36000     0.00     0.00  boost::detail::lexical_istream_limited_src<char, std::char_traits<char>, false, 2ul>::cbegin() const
  0.00      0.45     0.00    36000     0.00     0.00  boost::iterators::detail::iterator_facade_base<boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::iterators::forward_traversal_tag, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long, false, false>::derived() const
  0.00      0.45     0.00    36000     0.00     0.00  boost::iterators::detail::iterator_facade_base<boost::token_iterator<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, boost::iterators::forward_traversal_tag, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, long, false, false>::operator*() const
  0.00      0.45     0.00    36000     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >& std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::assign<__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, void>(__gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >)
  0.00      0.45     0.00    30000     0.00     0.00  bool boost::conversion::detail::try_lexical_convert<unsigned short, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned short&)
  0.00      0.45     0.00    30000     0.00     0.00  unsigned short boost::lexical_cast<unsigned short, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.45     0.00    30000     0.00     0.00  boost::detail::lcast_ret_unsigned<std::char_traits<char>, unsigned short, char>::main_convert_loop()
  0.00      0.45     0.00    30000     0.00     0.00  boost::detail::lcast_ret_unsigned<std::char_traits<char>, unsigned short, char>::convert()
  0.00      0.45     0.00    30000     0.00     0.00  boost::detail::lcast_ret_unsigned<std::char_traits<char>, unsigned short, char>::lcast_ret_unsigned(unsigned short&, char const*, char const*)
  0.00      0.45     0.00    30000     0.00     0.00  boost::detail::lexical_converter_impl<unsigned short, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::try_convert(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned short&)
  0.00      0.45     0.00    30000     0.00     0.00  bool boost::detail::lexical_ostream_limited_src<char, std::char_traits<char> >::shr_unsigned<unsigned short>(unsigned short&)
  0.00      0.45     0.00    30000     0.00     0.00  boost::detail::lexical_ostream_limited_src<char, std::char_traits<char> >::operator>>(unsigned short&)
  0.00      0.45     0.00    30000     0.00     0.00  std::numeric_limits<unsigned int>::max()
  0.00      0.45     0.00    18000     0.00     0.00  boost::date_time::int_adapter<unsigned int>::not_a_number()
  0.00      0.45     0.00    18000     0.00     0.00  boost::gregorian::greg_month::operator unsigned short() const
  0.00      0.45     0.00    13762     0.00     0.00  std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > >&& std::forward<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >(std::remove_reference<std::pair<Route* const, std::vector<Route*, std::allocator<Route*> > > >::type&)
  0.00      0.45     0.00    12000     0.00     0.00  boost::char_separator<char, std::char_traits<char> >::char_separator(char const*, char const*, boost::empty_token_policy)
  0.00      0.45     0.00    12000     0.00     0.00  boost::CV::constrained_value<boost::CV::simple_exception_policy<unsigned short, (unsigned short)1400, (unsigned short)9999, boost::gregorian::bad_year> >::min()
  0.00      0.45     0.00    12000     0.00     0.00  boost::CV::constrained_value<boost::CV::simple_exception_policy<unsigned short, (unsigned short)1, (unsigned short)12, boost::gregorian::bad_month> >::min()
  0.00      0.45     0.00    12000     0.00     0.00  boost::CV::constrained_value<boost::CV::simple_exception_policy<unsigned short, (unsigned short)1, (unsigned short)31, boost::gregorian::bad_day_of_month> >::min()
  0.00      0.45     0.00    12000     0.00     0.00  boost::CV::simple_exception_policy<unsigned short, (unsigned short)1400, (unsigned short)9999, boost::gregorian::bad_year>::min()
  0.00      0.45     0.00    12000     0.00     0.00  boost::CV::simple_exception_policy<unsigned short, (unsigned short)1, (unsigned short)12, boost::gregorian::bad_month>::min()
  0.00      0.45     0.00    12000     0.00     0.00  boost::CV::simple_exception_policy<unsigned short, (unsigned short)1, (unsigned short)31, boost::gregorian::bad_day_of_month>::min()
  0.00      0.45     0.00    12000     0.00     0.00  boost::date_time::int_adapter<unsigned int>::neg_infinity()
  0.00      0.45     0.00    12000     0.00     0.00  boost::date_time::int_adapter<unsigned int>::pos_infinity()
  0.00      0.45     0.00    12000     0.00     0.00  boost::date_time::int_adapter<unsigned int>::is_not_a_number(unsigned int)
  0.00      0.45     0.00    12000     0.00     0.00  boost::date_time::int_adapter<unsigned int>::is_inf(unsigned int)
  0.00      0.45     0.00    12000     0.00     0.00  boost::date_time::counted_time_rep<boost::posix_time::millisec_posix_time_system_config>::counted_time_rep(boost::gregorian::date const&, boost::posix_time::time_duration const&)
  0.00      0.45     0.00    12000     0.00     0.00  void boost::date_time::counted_time_system<boost::date_time::counted_time_rep<boost::posix_time::millisec_posix_time_system_config> >::unused_var<boost::date_time::dst_flags>(boost::date_time::dst_flags const&)
  0.00      0.45     0.00    12000     0.00     0.00  boost::date_time::counted_time_system<boost::date_time::counted_time_rep<boost::posix_time::millisec_posix_time_system_config> >::get_time_rep(boost::gregorian::date const&, boost::posix_time::time_duration const&, boost::date_time::dst_flags)
  0.00      0.45     0.00    12000     0.00     0.00  boost::date_time::base_time<boost::posix_time::ptime, boost::date_time::counted_time_system<boost::date_time::counted_time_rep<boost::posix_time::millisec_posix_time_system_config> > >::base_time(boost::gregorian::date const&, boost::posix_time::time_duration const&, boost::date_time::dst_flags)
  0.00      0.45     0.00    12000     0.00     0.00  boost::tokenizer<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::tokenizer<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, boost::char_separator<char, std::char_traits<char> > const&)
  0.00      0.45     0.00    12000     0.00     0.00  boost::tokenizer<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::~tokenizer()
  0.00      0.45     0.00    12000     0.00     0.00  boost::date_time::date<boost::gregorian::date, boost::gregorian::gregorian_calendar, boost::gregorian::date_duration>::is_infinity() const
  0.00      0.45     0.00    12000     0.00     0.00  boost::date_time::date<boost::gregorian::date, boost::gregorian::gregorian_calendar, boost::gregorian::date_duration>::is_not_a_date() const
  0.00      0.45     0.00    12000     0.00     0.00  boost::gregorian::greg_day::operator unsigned short() const
  0.00      0.45     0.00    12000     0.00     0.00  boost::tokenizer<boost::char_separator<char, std::char_traits<char> >, __gnu_cxx::__normal_iterator<char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >::begin() const
  0.00      0.45     0.00    12000     0.00     0.00  std::numeric_limits<unsigned int>::min()
  0.00      0.45     0.00     9932     0.00     0.00  std::initializer_list<Route*>::begin() const
  0.00      0.45     0.00     9932     0.00     0.00  Route* const* std::__miter_base<Route* const*>(Route* const*)
  0.00      0.45     0.00     9932     0.00     0.00  Route* const* std::__niter_base<Route* const*>(Route* const*)
  0.00      0.45     0.00     6000     0.00     0.00  bool boost::conversion::detail::try_lexical_convert<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, int&)
  0.00      0.45     0.00     6000     0.00     0.00  boost::posix_time::time_duration::time_duration(boost::date_time::special_values)
  0.00      0.45     0.00     6000     0.00     0.00  boost::posix_time::time_from_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.45     0.00     6000     0.00     0.00  boost::posix_time::ptime::ptime()
  0.00      0.45     0.00     6000     0.00     0.00  boost::posix_time::ptime::ptime(boost::gregorian::date, boost::posix_time::time_duration)
  0.00      0.45     0.00     6000     0.00     0.00  int boost::lexical_cast<int, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.45     0.00     6000     0.00     0.00  boost::CV::constrained_value<boost::CV::simple_exception_policy<unsigned short, (unsigned short)1400, (unsigned short)9999, boost::gregorian::bad_year> >::max()
  0.00      0.45     0.00     6000     0.00     0.00  boost::CV::constrained_value<boost::CV::simple_exception_policy<unsigned short, (unsigned short)1400, (unsigned short)9999, boost::gregorian::bad_year> >::assign(unsigned short)
  0.00      0.45     0.00     6000     0.00     0.00  boost::CV::constrained_value<boost::CV::simple_exception_policy<unsigned short, (unsigned short)1400, (unsigned short)9999, boost::gregorian::bad_year> >::constrained_value(unsigned short)
  0.00      0.45     0.00     6000     0.00     0.00  boost::CV::constrained_value<boost::CV::simple_exception_policy<unsigned short, (unsigned short)1, (unsigned short)12, boost::gregorian::bad_month> >::max()
  0.00      0.45     0.00     6000     0.00     0.00  boost::CV::constrained_value<boost::CV::simple_exception_policy<unsigned short, (unsigned short)1, (unsigned short)12, boost::gregorian::bad_month> >::assign(unsigned short)
  0.00      0.45     0.00     6000     0.00     0.00  boost::CV::constrained_value<boost::CV::simple_exception_policy<unsigned short, (unsigned short)1, (unsigned short)12, boost::gregorian::bad_month> >::constrained_value(unsigned short)
  0.00      0.45     0.00     6000     0.00     0.00  boost::CV::constrained_value<boost::CV::simple_exception_policy<unsigned short, (unsigned short)1, (unsigned short)31, boost::gregorian::bad_day_of_month> >::max()
  0.00      0.45     0.00     6000     0.00     0.00  boost::CV::constrained_value<boost::CV::simple_exception_policy<unsigned short, (unsigned short)1, (unsigned short)31, boost::gregorian::bad_day_of_month> >::assign(unsigned short)
  0.00      0.45     0.00     6000     0.00     0.00  boost::CV::constrained_value<boost::CV::simple_exception_policy<unsigned short, (unsigned short)1, (unsigned short)31, boost::gregorian::bad_day_of_month> >::constrained_value(unsigned short)
  0.00      0.45     0.00     6000     0.00     0.00  boost::CV::simple_exception_policy<unsigned short, (unsigned short)1400, (unsigned short)9999, boost::gregorian::bad_year>::max()
  0.00      0.45     0.00     6000     0.00     0.00  boost::CV::simple_exception_policy<unsigned short, (unsigned short)1, (unsigned short)12, boost::gregorian::bad_month>::max()
  0.00      0.45     0.00     6000     0.00     0.00  boost::CV::simple_exception_policy<unsigned short, (unsigned short)1, (unsigned short)31, boost::gregorian::bad_day_of_month>::max()
  0.00      0.45     0.00     6000     0.00     0.00  boost::detail::lcast_ret_unsigned<std::char_traits<char>, unsigned int, char>::main_convert_loop()
  0.00      0.45     0.00     6000     0.00     0.00  boost::detail::lcast_ret_unsigned<std::char_traits<char>, unsigned int, char>::main_convert_iteration()
  0.00      0.45     0.00     6000     0.00     0.00  boost::detail::lcast_ret_unsigned<std::char_traits<char>, unsigned int, char>::convert()
  0.00      0.45     0.00     6000     0.00     0.00  boost::detail::lcast_ret_unsigned<std::char_traits<char>, unsigned int, char>::lcast_ret_unsigned(unsigned int&, char const*, char const*)
